Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
341,Onyeka Okongwu,C,22,ATL,28,3,21,3.3,5.3,0.617,0,0.1,0,3.3,5.2,0.63,0.617,1.6,2.1,0.733,2.4,4.1,6.5,0.9,0.6,0.7,1,3,8.1
342,Isaac Okoro,SG,22,CLE,29,4,18.4,1.4,3.6,0.398,0.4,1.7,0.245,1,1.9,0.537,0.456,0.8,1,0.821,0.5,1.6,2,0.6,0.6,0.3,0.7,1.9,4
343,KZ Okpala,PF,23,SAC,18,3,8.6,0.7,1.4,0.48,0.2,0.6,0.364,0.4,0.8,0.571,0.56,0.3,0.3,1,0.3,1,1.3,0.5,0.2,0.2,0.2,1.3,1.9
344,Victor Oladipo,SG,30,MIA,5,0,22.6,3.2,7.4,0.432,1.2,4,0.3,2,3.4,0.588,0.514,1,1.8,0.556,0.2,2.8,3,2.8,0.8,0,1,2.2,8.6
345,Kelly Olynyk,PF,31,UTA,30,30,28.4,4.4,8.1,0.545,1.5,3.4,0.447,2.9,4.6,0.619,0.64,2.6,3.1,0.83,1.3,3.8,5,3.3,1.2,0.6,2.2,4.1,12.9
346,Eugene Omoruyi,SF,25,OKC,11,0,12.6,2.1,4.5,0.469,0.6,1.8,0.35,1.5,2.6,0.552,0.541,0.6,1,0.636,0.8,1.2,2,0.5,0.7,0,0.6,2.5,5.5
347,Cedi Osman,SF,27,CLE,28,0,23.1,3.3,7.5,0.443,1.3,4.1,0.325,2,3.4,0.583,0.531,1,1.4,0.692,0.3,2.7,3,1.6,0.4,0.1,0.9,1.9,8.9
348,Kelly Oubre Jr.,SF,27,CHO,28,28,33.3,7.9,18.1,0.433,2.4,7.5,0.322,5.4,10.6,0.512,0.5,2.9,4.1,0.713,1.6,3.8,5.3,1.2,1.8,0.4,1.2,3,21.1
349,Chris Paul,PG,37,PHO,14,14,30.9,3.2,8.8,0.366,1.2,4.1,0.298,2,4.7,0.424,0.435,2.7,3.1,0.884,0.5,4.2,4.7,8.8,1.5,0.2,2.1,2.6,10.4
350,Cameron Payne,PG,28,PHO,26,14,24.8,4.7,11.4,0.416,1.8,4.8,0.387,2.9,6.6,0.436,0.497,1.4,1.8,0.766,0.3,2,2.4,5.3,1,0.2,2,2.1,12.7
351,Theo Pinson,SG,27,DAL,9,0,3.3,0.1,0.6,0.2,0,0.4,0,0.1,0.1,1,0.2,0.4,0.4,1,0,0.8,0.8,0.2,0.1,0,0.1,0.1,0.7
352,Scotty Pippen Jr.,PG,22,LAL,2,0,4,0,1,0,0,0,,0,1,0,0,1.5,2,0.75,0.5,0.5,1,0,0,0,0.5,1,1.5
353,Mason Plumlee,C,32,CHO,28,28,28.1,3.6,6.2,0.59,0,0,,3.6,6.2,0.59,0.59,2.3,4.1,0.565,3.4,6.2,9.6,4.1,0.6,0.5,1.9,3.3,9.6
354,Jakob Poeltl,C,27,SAS,20,20,27.3,5.7,8.9,0.64,0,0,,5.7,8.9,0.64,0.64,1.5,2.8,0.518,3.9,6,9.9,3.5,0.9,1,2.4,2.3,12.9
