Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
215,Kyrie Irving,PG,30,BRK,30,30,36.5,9.7,19.8,0.488,3.1,8.6,0.366,6.5,11.2,0.582,0.567,3.6,3.9,0.907,0.9,4,4.9,4.7,0.8,0.8,2.2,2.6,26
216,Jaden Ivey,SG,20,DET,41,40,29.9,5.2,12.4,0.416,1.4,4,0.339,3.8,8.4,0.452,0.471,3.4,4.7,0.723,1,3,4,4.2,1,0.2,2.8,3,15.1
217,Isaiah Jackson,PF,21,IND,31,3,15.7,2.6,4.6,0.563,0,0.2,0.143,2.5,4.4,0.585,0.567,1.7,2.5,0.688,1.3,2.6,3.9,1,0.5,1.2,0.9,2.3,6.9
218,Jaren Jackson Jr.,C,23,MEM,25,25,26.3,6,11.6,0.516,1.5,4.1,0.369,4.4,7.4,0.597,0.581,3.4,4.4,0.766,2,4.7,6.6,0.9,1,3.2,1.5,3.1,16.8
219,Justin Jackson,SF,27,BOS,18,0,4.4,0.3,1.2,0.238,0.2,0.8,0.267,0.1,0.3,0.167,0.333,0.1,0.1,0.5,0.1,0.4,0.5,0.4,0.2,0.2,0.1,0.3,0.8
220,Reggie Jackson,PG,32,LAC,39,38,27.6,4.2,10.3,0.413,1.5,4.3,0.341,2.8,6,0.464,0.484,1.4,1.5,0.915,0.5,2,2.4,3.7,0.6,0.1,2,1.9,11.3
221,LeBron James,PF,38,LAL,31,31,35.9,11.4,22.3,0.51,2,6.7,0.295,9.4,15.6,0.602,0.554,4.4,5.8,0.756,1.2,7,8.2,6.7,1,0.5,3.3,1.7,29.1
222,Ty Jerome,SG,25,GSW,25,1,17.7,2.7,5.4,0.496,0.8,2.2,0.382,1.8,3.2,0.575,0.574,1,1,0.962,0.1,1.5,1.6,2.3,0.3,0.1,0.7,1.4,7.2
223,Isaiah Joe,SG,23,OKC,34,1,13.5,2.3,4.9,0.461,1.7,3.9,0.435,0.6,1.1,0.556,0.632,0.8,1,0.8,0.3,1.7,2,1.1,0.6,0.1,0.4,1.5,7
224,Alize Johnson,PF,26,SAS,4,0,7.5,0.8,1.5,0.5,0,0.5,0,0.8,1,0.75,0.5,0.3,0.5,0.5,0.5,2,2.5,0.3,0.3,0,1,0.8,1.8
