,onehotencoder__Pos_Frontcourt,onehotencoder__Pos_Guard,remainder__Age,remainder__G,remainder__GS,remainder__MP,remainder__FG,remainder__FGA,remainder__FG%,remainder__3P,remainder__3PA,remainder__3P%,remainder__2P,remainder__2PA,remainder__2P%,remainder__eFG%,remainder__FT,remainder__FTA,remainder__FT%,remainder__ORB,remainder__DRB,remainder__TRB,remainder__AST,remainder__STL,remainder__BLK,remainder__TOV,remainder__PF,remainder__PTS,remainder__AllStar
2467,1.0,0.0,-0.1760962745175597,0.19152759364294647,-0.24460982306360532,-0.8765515566896022,-0.6964858402696245,-0.9920524572072906,1.449296991617099,-1.033027925246675,-1.1239207354867977,0.0,-0.33353327553019574,-0.5295771676793383,1.0960750233064334,0.8883998372413694,-0.8545580514708219,-0.732515318889427,,0.47232346838496503,0.030800367251535402,0.20538468433470178,-0.44162748616572817,0.4675085515573191,0.7720821519324027,-0.8131251819587405,0.2876763128741372,-0.872284716452964,0.0
2468,1.0,0.0,1.2806320559596116,0.13157112954602407,0.9990881734221284,0.900767053266131,0.00182369536847559,0.2081521045113574,-0.5406248820689165,1.5048479945832471,1.6489410510848264,0.353,-0.5540736454726108,-0.5853493121058313,0.10170204667350413,0.3219984175858966,-0.39966734718295827,-0.37200651384612415,,-0.750160802729062,0.030800367251535402,-0.26962570824730814,1.1365413246912122,-0.03993791646469556,-0.45017167816254117,1.660607765972076,0.9951307748947846,0.11714340331583714,0.0
2469,0.0,1.0,-0.6616723846766168,-1.1275146164893464,-0.9307880280212515,-0.9886347122723966,-0.9650664308996629,-0.864371120854243,-0.8202006825041409,0.6091270817020983,0.8566948263500765,0.319,-1.2156947552998563,-1.3661593340767324,1.3360960866316232,0.28545639051134997,-1.006188286233443,-1.0930241239327296,,-0.9724306702043397,-0.6639623472071529,-0.8310016267533195,-0.5468387402228575,-0.5473843844867105,-0.6538806498450318,-0.538265965521983,0.9951307748947846,-0.872284716452964,0.0
2470,1.0,0.0,-0.41888432959708827,0.6112228423214033,-0.75924347678184,-1.1007178678551905,-0.9650664308996629,-1.2218788626427763,1.6137533448142904,-1.033027925246675,-1.1239207354867977,0.0,-0.6092087379582146,-0.7805518175985565,1.2846630016333682,1.0711099726141027,-0.24803711242033707,-0.011497708802821463,,0.6945933358602426,-0.15868037305537952,0.11901915841069993,-1.072895010508504,-0.5473843844867105,-0.04275373479755987,-0.9505547901771192,1.52572162141027,-0.8920732788483401,0.0
2471,0.0,1.0,-1.3900365499152025,0.4913099141275585,0.22713769284477647,0.5324938277798078,-0.15932465900954743,0.10600703542891919,-0.7708637765449835,0.16126662526152377,0.4039826979302196,0.306,-0.2232630905589883,-0.08340001226739455,-0.5840724199698943,-0.7559913811132281,-0.24803711242033707,-0.37200651384612415,,-0.5278909352537845,-0.5376418536692097,-0.5287222860193133,0.29485129223417716,2.2435711896343706,-0.8575896215275225,0.5611709002250461,1.52572162141027,-0.15989647021942724,0.0
2472,0.0,1.0,-1.1472484948356738,0.8510486987090929,0.31290996846448227,-0.01191007076519145,0.00182369536847559,0.029398233617090864,0.0020810834818153364,0.9077007193291479,0.8001058102975943,0.379,-0.2783981830445919,-0.3622607343998593,0.290290025000439,0.6143346341822696,0.43429894401145824,0.22884149455938033,,-0.5278909352537845,-0.9166033342830396,-0.7878188637913186,0.9787244436055178,-0.03993791646469556,-0.8575896215275225,0.14888207556991032,-0.24291453364134902,0.2358747776880932,0.0
2473,1.0,0.0,0.06669178056196885,0.3114405218367913,-1.2738771305000747,-1.420955455234602,-0.7502019583956322,-0.966516189936681,1.0710473792635589,-1.033027925246675,-1.0673317194343155,0.333,-0.38866836801579957,-0.5295771676793383,0.7360434283186486,0.522979566495903,-0.39966734718295827,-0.37200651384612415,,0.027783733434409607,-0.22184061982435127,-0.1832601823233063,-0.8624725023942454,-0.03993791646469556,-0.45017167816254117,-0.40083635730360456,0.11081269736897512,-0.7733419044760839,0.0
2474,0.0,1.0,0.06669178056196885,-0.5879064396170448,-0.8021296145916929,-0.059945708872103286,0.10925593162049085,0.38690597540562394,-0.7873094118647027,0.9077007193291479,0.8566948263500765,0.371,-0.2232630905589883,0.0002582043723448326,-1.012681461622019,-0.44538415097958167,0.05522335710490526,-0.011497708802821463,,-0.9724306702043397,-0.5376418536692097,-0.7014533378673169,1.8204144760625527,-0.8011076184977178,-1.0612985932100132,1.3857485495353183,-0.9503689956619965,0.1962976528973413,0.0
2475,1.0,0.0,-0.9044604397561453,0.19152759364294647,-0.4590405121128697,-0.41220705498945576,-0.26675689526156293,-0.35364577544205233,0.31454815455647905,-1.033027925246675,-1.1239207354867977,0.0,0.10754746435463443,0.13968856543857722,-0.08688593165343071,-0.3723000968304884,-0.1722219950390264,0.048587092037729054,,1.4725378720237143,0.28344135432742235,0.7667606028407131,-0.7572612483371162,-0.5473843844867105,0.16095523688493074,-0.26340674908522577,-0.7735053801568343,-0.3775706565685634,0.0
2476,0.0,1.0,0.06669178056196885,0.8510486987090929,-0.3303820986833111,0.26029187850730817,-0.051892422757532156,0.08047076815830974,-0.37616852887172497,1.5048479945832471,1.196228922664969,0.418,-0.6092087379582146,-0.5016910954660917,-0.7555160366307442,0.6143346341822696,0.28266870924883725,-0.011497708802821463,,-0.9724306702043397,-0.7902828407450964,-0.9173671526773214,0.13703441114848322,-1.054830852508725,-0.8575896215275225,-0.6756955737403618,-1.1272326111671584,0.25566334008346914,0.0
2477,0.0,1.0,-0.1760962745175597,-0.9476452241985792,-1.2309909926902218,0.3243393959831908,0.43155264037653734,0.7444137171941575,-0.6721899646266696,1.8034216322102967,1.9884751473997189,0.347,-0.2232630905589883,-0.16705822890713415,-0.20689646331602465,0.047933214526796844,-0.5512975819455794,-0.49217611552722507,,-0.41675600151614556,-0.0955201262864078,-0.22644294528530723,0.08442878411991851,1.7361247216123559,-0.6538806498450318,-0.26340674908522577,0.8182671593896226,0.4337604016418534,0.0
