,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,All-Star Probability,Conference
205,206,Kevin Huerter,Guard,24,SAC,26,26,31.9,5.4,11.6,0.468,2.9,7.0,0.41,2.5,4.5,0.559,0.593,1.6,2.3,0.683,0.5,2.8,3.2,3.2,1.1,0.3,1.6,2.3,15.3,1.5646294e-05,West
32,33,Nicolas Batum,Frontcourt,34,LAC,30,3,20.9,2.0,4.5,0.441,1.4,3.5,0.4,0.6,1.0,0.581,0.596,0.4,0.7,0.591,0.9,3.4,4.3,1.4,0.6,0.7,0.7,2.1,5.8,1.5593932e-05,West
0,1,Precious Achiuwa,Frontcourt,23,TOR,12,0,20.4,3.0,7.7,0.391,0.4,2.3,0.179,2.6,5.3,0.484,0.418,2.3,2.8,0.848,2.0,5.0,7.0,1.3,0.2,0.6,1.3,1.6,8.8,1.5312082e-05,East
400,399,Alperen Şengün,Frontcourt,20,HOU,24,21,26.9,5.7,10.5,0.538,0.2,0.9,0.19,5.5,9.7,0.569,0.545,2.9,3.7,0.795,3.6,5.4,9.0,2.2,0.7,0.9,2.3,3.3,14.4,1.5229262e-05,West
381,382,Mitchell Robinson,Frontcourt,24,NYK,20,19,24.3,3.3,4.7,0.71,0.0,0.0,,3.3,4.7,0.71,0.71,0.8,1.7,0.455,4.2,4.0,8.2,0.8,0.6,1.9,0.6,3.0,7.4,1.5123797e-05,East
359,360,Bobby Portis,Frontcourt,27,MIL,27,7,26.5,5.9,11.9,0.498,1.1,3.6,0.306,4.8,8.3,0.583,0.545,1.0,1.3,0.778,2.5,7.8,10.3,2.1,0.3,0.3,1.1,1.8,14.0,1.5010655e-05,East
33,34,Darius Bazley,Frontcourt,22,OKC,21,1,16.9,2.2,5.1,0.435,0.5,1.5,0.355,1.7,3.7,0.468,0.486,0.9,1.7,0.514,1.0,3.0,3.9,1.0,0.6,1.2,0.6,1.3,5.9,1.48533045e-05,West
189,190,Juancho Hernangómez,Frontcourt,27,TOR,17,3,17.4,1.8,3.6,0.508,0.6,1.9,0.313,1.2,1.7,0.724,0.59,0.2,0.5,0.444,0.9,3.2,4.1,0.8,0.6,0.2,0.6,1.3,4.5,1.4702987e-05,East
220,221,Cameron Johnson,Frontcourt,26,PHO,8,8,25.3,4.6,10.4,0.446,2.8,6.4,0.431,1.9,4.0,0.469,0.578,1.0,1.4,0.727,0.6,2.8,3.4,1.8,1.1,0.4,0.3,1.8,13.0,1.4194192e-05,West
358,359,Otto Porter Jr.,Frontcourt,29,TOR,8,2,18.3,1.9,3.8,0.5,0.8,2.1,0.353,1.1,1.6,0.692,0.6,1.0,1.0,1.0,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,5.5,1.3661955e-05,East
343,344,Victor Oladipo,Guard,30,MIA,5,0,22.6,3.2,7.4,0.432,1.2,4.0,0.3,2.0,3.4,0.588,0.514,1.0,1.8,0.556,0.2,2.8,3.0,2.8,0.8,0.0,1.0,2.2,8.6,1.310092e-05,East
234,235,Cory Joseph,Guard,31,DET,24,2,15.5,1.8,4.2,0.426,0.7,1.8,0.364,1.1,2.4,0.474,0.505,0.5,0.7,0.647,0.3,0.8,1.1,3.2,0.3,0.1,0.6,1.4,4.7,1.2028825e-05,East
388,389,Terrence Ross,Guard,31,ORL,26,8,23.7,3.2,7.6,0.419,1.6,4.2,0.389,1.6,3.5,0.456,0.525,0.3,0.5,0.692,0.3,1.8,2.2,1.2,0.7,0.2,1.2,1.5,8.3,1.1796821e-05,East
97,98,Seth Curry,Guard,32,BRK,18,0,23.3,3.4,7.6,0.445,1.8,4.4,0.4,1.6,3.2,0.509,0.562,0.8,0.8,0.933,0.2,2.1,2.3,2.3,0.6,0.2,1.2,2.0,9.3,1.15143785e-05,East
300,301,De'Anthony Melton,Guard,24,PHI,24,17,29.4,4.4,10.4,0.426,2.3,5.9,0.394,2.1,4.5,0.467,0.538,0.7,1.0,0.68,1.1,3.3,4.4,3.3,2.2,0.5,1.8,2.1,11.9,1.1105795e-05,East
35,36,Malik Beasley,Guard,26,UTA,30,5,27.5,5.1,12.2,0.422,3.3,8.4,0.391,1.8,3.7,0.491,0.558,0.6,0.8,0.826,0.6,3.2,3.8,1.6,1.0,0.1,1.0,1.3,14.2,1.1092829e-05,West
418,417,Lamar Stevens,Frontcourt,25,CLE,16,13,23.9,2.8,6.1,0.459,0.7,2.0,0.344,2.1,4.1,0.515,0.515,1.1,1.3,0.81,0.6,3.6,4.2,0.5,0.5,0.4,0.5,1.4,7.4,1.0953029e-05,East
150,151,Josh Giddey,Guard,20,OKC,25,25,30.9,6.4,14.0,0.454,1.0,3.1,0.321,5.4,10.9,0.493,0.49,1.1,1.5,0.737,1.7,6.2,7.9,5.4,0.6,0.5,3.2,2.0,14.8,1.0845305e-05,West
139,140,Evan Fournier,Guard,30,NYK,13,7,20.0,2.4,6.9,0.344,1.5,4.4,0.333,0.9,2.5,0.364,0.45,0.7,0.8,0.818,0.2,1.9,2.1,1.7,0.7,0.2,1.1,2.2,6.9,1.0833717e-05,East
6,7,Grayson Allen,Guard,27,MIL,24,22,27.4,3.5,7.5,0.461,2.0,4.7,0.42,1.5,2.8,0.529,0.592,2.2,2.4,0.93,0.9,2.7,3.6,2.6,0.8,0.2,1.2,1.5,11.1,1.0448399e-05,East
72,73,Kentavious Caldwell-Pope,Guard,29,DEN,26,26,31.1,3.9,8.5,0.464,2.0,4.5,0.453,1.9,4.0,0.476,0.584,1.1,1.4,0.784,0.5,2.6,3.1,2.2,1.2,0.4,1.2,1.9,11.0,1.0185973e-05,West
240,241,Walker Kessler,Frontcourt,21,UTA,27,2,16.9,2.7,3.7,0.73,0.0,0.0,,2.7,3.7,0.73,0.73,0.9,1.6,0.571,2.3,3.8,6.1,0.6,0.2,1.9,0.6,2.1,6.3,9.817316e-06,West
169,170,Rui Hachimura,Frontcourt,24,WAS,16,0,23.5,4.8,9.9,0.481,0.8,2.3,0.333,4.0,7.6,0.525,0.519,1.3,1.8,0.724,0.8,4.1,4.8,1.1,0.3,0.5,1.4,1.1,11.6,9.642595e-06,East
454,453,Lonnie Walker IV,Guard,24,LAL,24,24,30.4,5.9,12.3,0.478,2.0,5.2,0.395,3.8,7.1,0.538,0.561,1.9,2.2,0.849,0.3,2.0,2.3,1.5,0.8,0.4,1.0,1.6,15.7,9.611655e-06,West
243,244,Maxi Kleber,Frontcourt,31,DAL,22,0,25.6,2.3,4.7,0.49,1.1,3.0,0.369,1.2,1.8,0.692,0.606,0.5,0.6,0.786,0.9,2.7,3.5,1.0,0.3,1.0,0.6,2.2,6.2,9.432422e-06,West
293,294,Jaden McDaniels,Frontcourt,22,MIN,25,25,29.9,4.2,8.0,0.522,1.1,3.0,0.36,3.1,5.0,0.619,0.59,1.1,1.4,0.771,1.2,2.0,3.2,1.4,1.2,1.2,1.4,3.5,10.6,8.395149e-06,West
460,459,Yuta Watanabe,Frontcourt,28,BRK,16,0,18.6,2.9,5.3,0.553,1.6,3.0,0.521,1.4,2.3,0.595,0.7,0.4,0.7,0.636,0.9,2.2,3.1,1.0,0.3,0.5,0.4,1.4,7.9,8.335595e-06,East
479,478,Ziaire Williams,Frontcourt,21,MEM,3,0,18.7,1.3,6.3,0.211,0.0,3.3,0.0,1.3,3.0,0.444,0.211,0.7,0.7,1.0,0.3,4.0,4.3,1.7,1.0,0.3,1.7,1.3,3.3,8.259094e-06,West
133,134,Dorian Finney-Smith,Frontcourt,29,DAL,28,28,31.6,3.0,7.6,0.396,1.8,5.5,0.331,1.2,2.1,0.569,0.517,0.5,0.8,0.652,1.4,2.6,4.0,1.1,1.0,0.5,0.9,1.8,8.4,8.0907885e-06,West
458,457,P.J. Washington,Frontcourt,24,CHO,28,28,31.9,5.6,13.7,0.411,1.8,5.6,0.318,3.9,8.1,0.476,0.477,1.9,2.5,0.783,1.1,3.6,4.7,2.4,0.8,1.0,1.6,2.6,15.0,7.652184e-06,East
202,203,Danuel House Jr.,Frontcourt,29,PHI,22,2,18.4,1.6,3.4,0.48,0.7,2.0,0.349,1.0,1.5,0.656,0.58,1.0,1.3,0.75,0.2,1.8,2.0,0.8,0.3,0.2,0.6,1.4,4.9,7.600618e-06,East
157,158,Devonte' Graham,Guard,27,NOP,27,0,15.3,1.7,4.5,0.372,1.4,3.7,0.37,0.3,0.8,0.381,0.525,0.8,1.0,0.808,0.2,1.2,1.4,2.1,0.5,0.3,0.6,0.8,5.5,7.545225e-06,West
141,142,Markelle Fultz,Guard,24,ORL,8,8,25.6,4.4,9.4,0.467,0.6,1.4,0.455,3.8,8.0,0.469,0.5,1.1,1.5,0.75,1.0,2.3,3.3,4.8,1.1,0.3,2.5,2.6,10.5,7.500307e-06,East
211,212,Jaden Ivey,Guard,20,DET,26,25,30.6,5.3,13.1,0.408,1.4,4.7,0.298,4.0,8.5,0.468,0.46,3.1,4.3,0.723,1.1,3.3,4.4,4.0,1.0,0.3,2.7,2.8,15.2,7.3811684e-06,East
94,95,Torrey Craig,Frontcourt,32,PHO,25,17,24.6,3.2,6.7,0.47,1.4,3.6,0.382,1.8,3.2,0.57,0.571,0.6,0.7,0.824,2.0,3.2,5.2,1.5,0.6,0.7,0.7,2.3,8.2,7.3477167e-06,West
57,58,Malcolm Brogdon,Guard,30,BOS,24,0,23.3,4.9,9.8,0.5,1.9,3.9,0.484,3.0,5.9,0.511,0.596,2.3,2.6,0.871,0.9,3.2,4.0,4.0,0.5,0.2,1.9,1.5,13.9,7.3299257e-06,East
239,240,Luke Kennard,Guard,26,LAC,19,7,21.8,3.2,6.1,0.517,1.8,3.9,0.473,1.3,2.2,0.595,0.668,0.4,0.4,1.0,0.2,2.4,2.6,0.9,0.6,0.1,1.0,1.4,8.5,7.278095e-06,West
363,364,Norman Powell,Guard,29,LAC,22,5,25.3,5.1,11.2,0.459,1.6,4.3,0.379,3.5,6.9,0.51,0.533,2.9,3.7,0.78,0.4,2.5,2.9,1.5,0.8,0.3,1.8,1.8,14.8,7.055256e-06,West
59,60,Bruce Brown,Guard,26,DEN,27,15,29.8,4.4,9.0,0.484,1.3,3.2,0.395,3.1,5.9,0.532,0.553,1.0,1.2,0.844,1.0,3.4,4.4,4.3,1.0,0.5,1.7,2.5,11.0,7.0304995e-06,West
438,437,Gary Trent Jr.,Guard,24,TOR,25,18,31.3,5.9,13.8,0.43,2.3,6.8,0.335,3.6,7.0,0.523,0.513,2.8,3.6,0.778,0.5,1.5,2.0,1.4,1.6,0.1,1.1,1.5,16.9,7.0153424e-06,East
299,300,Jordan McLaughlin,Guard,26,MIN,18,0,15.9,1.6,3.7,0.424,0.4,1.9,0.235,1.1,1.8,0.625,0.485,0.5,0.5,1.0,0.4,1.3,1.7,3.6,0.8,0.1,0.8,0.4,4.1,6.9049015e-06,West
131,132,Drew Eubanks,Frontcourt,25,POR,26,3,17.4,2.4,3.3,0.741,0.0,0.1,0.5,2.4,3.2,0.747,0.747,0.9,1.3,0.686,1.4,2.6,4.0,0.8,0.4,1.0,0.7,1.8,5.8,6.680785e-06,West
324,325,Larry Nance Jr.,Frontcourt,30,NOP,25,0,23.0,4.0,6.1,0.647,0.4,0.9,0.391,3.6,5.2,0.692,0.676,1.0,1.2,0.774,1.8,3.9,5.7,2.0,1.0,0.9,1.0,2.2,9.2,6.656726e-06,West
28,29,RJ Barrett,Guard,22,NYK,28,28,34.0,6.5,15.9,0.41,1.6,5.5,0.301,4.9,10.5,0.468,0.462,4.3,5.4,0.783,0.9,4.8,5.6,3.0,0.6,0.2,2.4,2.4,19.0,6.500528e-06,East
9,10,Kyle Anderson,Frontcourt,29,MIN,23,8,24.1,2.7,5.3,0.504,0.4,1.1,0.4,2.3,4.3,0.531,0.545,1.7,2.2,0.8,0.6,3.7,4.3,3.5,1.0,0.8,1.6,1.7,7.6,6.4194483e-06,West
380,381,Duncan Robinson,Frontcourt,28,MIA,20,0,17.0,2.1,5.7,0.36,1.4,4.3,0.326,0.7,1.4,0.464,0.482,0.8,0.9,0.941,0.3,1.7,2.0,1.3,0.2,0.0,0.7,1.9,6.3,6.3397483e-06,East
116,117,Luguentz Dort,Guard,23,OKC,27,27,30.5,4.9,12.1,0.401,1.7,5.4,0.32,3.1,6.7,0.467,0.472,2.5,3.3,0.764,1.6,2.9,4.5,2.4,1.1,0.3,1.5,3.3,14.0,6.2853337e-06,West
477,476,Patrick Williams,Frontcourt,21,CHI,27,26,26.7,3.6,7.6,0.468,1.3,3.0,0.444,2.2,4.6,0.484,0.556,1.0,1.1,0.933,1.1,2.9,4.0,1.0,0.6,1.0,1.5,2.0,9.5,6.188479e-06,East
456,455,T.J. Warren,Frontcourt,29,BRK,5,0,17.0,3.6,6.8,0.529,0.2,1.0,0.2,3.4,5.8,0.586,0.544,0.6,0.8,0.75,1.4,1.0,2.4,1.8,0.8,0.2,0.4,1.6,8.0,6.052894e-06,East
163,164,Javonte Green,Guard,29,CHI,24,1,16.0,2.3,3.8,0.587,0.5,1.3,0.367,1.8,2.6,0.694,0.647,0.9,1.4,0.636,1.0,2.1,3.1,0.8,0.9,0.7,0.8,1.7,5.8,6.0445764e-06,East
232,233,Tyus Jones,Guard,26,MEM,27,5,23.8,4.1,9.2,0.448,1.6,4.0,0.385,2.6,5.1,0.496,0.532,0.8,1.1,0.7,0.4,1.8,2.2,4.9,0.8,0.1,1.1,0.4,10.6,5.971097e-06,West
297,298,Bryce McGowens,Guard,20,CHO,12,0,15.2,1.5,3.6,0.419,0.5,1.3,0.375,1.0,2.3,0.444,0.488,0.9,1.0,0.917,0.3,1.2,1.4,1.1,0.3,0.3,0.5,0.6,4.4,5.74104e-06,East
64,65,Troy Brown Jr.,Frontcourt,23,LAL,24,16,24.4,2.6,6.1,0.429,0.9,3.0,0.31,1.7,3.2,0.539,0.503,0.7,0.7,1.0,0.9,3.5,4.3,0.8,0.8,0.1,0.9,1.5,6.9,5.7215652e-06,West
51,52,James Bouknight,Guard,22,CHO,21,0,15.9,1.9,5.5,0.339,0.7,2.9,0.25,1.1,2.6,0.436,0.404,0.7,1.0,0.682,0.2,2.0,2.2,1.2,0.5,0.2,0.9,1.4,5.1,5.537843e-06,East
483,482,Christian Wood,Frontcourt,27,DAL,25,1,26.2,6.2,11.4,0.544,1.5,3.6,0.411,4.7,7.8,0.605,0.609,2.7,4.0,0.677,1.2,6.5,7.6,1.4,0.4,0.5,2.3,2.8,16.6,5.526774e-06,West
292,293,T.J. McConnell,Guard,30,IND,26,0,17.7,2.4,5.3,0.449,0.2,0.6,0.267,2.2,4.7,0.472,0.464,0.6,0.7,0.889,0.6,1.8,2.4,4.3,1.2,0.2,1.6,1.2,5.5,5.4957327e-06,East
259,260,Damion Lee,Guard,30,PHO,28,0,21.4,2.8,6.2,0.454,1.9,3.9,0.473,1.0,2.3,0.422,0.603,0.8,0.9,0.92,0.7,2.7,3.4,1.3,0.5,0.1,0.8,1.5,8.3,5.474881e-06,West
31,32,Keita Bates-Diop,Frontcourt,27,SAS,23,9,18.3,3.2,6.0,0.536,0.5,1.4,0.375,2.7,4.6,0.585,0.58,1.2,1.5,0.794,1.3,1.7,3.0,0.7,0.7,0.2,0.8,0.7,8.1,5.0867147e-06,West
39,40,Saddiq Bey,Frontcourt,23,DET,26,17,29.2,4.6,11.4,0.401,1.6,5.4,0.298,3.0,6.0,0.494,0.471,3.6,4.2,0.87,1.0,3.3,4.2,1.7,0.9,0.2,1.1,1.8,14.4,4.95247e-06,East
162,163,JaMychal Green,Frontcourt,32,GSW,26,1,15.0,2.3,4.5,0.509,0.4,1.7,0.25,1.8,2.8,0.667,0.556,0.7,0.9,0.75,1.3,2.4,3.7,0.7,0.5,0.3,1.0,2.1,5.7,4.9281266e-06,West
354,355,Aleksej Pokusevski,Frontcourt,21,OKC,25,19,22.2,3.5,7.9,0.447,1.2,3.2,0.392,2.3,4.7,0.483,0.525,0.6,0.9,0.609,1.6,3.7,5.2,1.9,0.5,1.4,1.4,1.8,8.8,4.836372e-06,West
318,319,Trey Murphy III,Frontcourt,22,NOP,25,15,28.7,4.2,9.1,0.456,2.3,5.8,0.39,1.9,3.3,0.573,0.581,1.8,1.9,0.917,1.0,3.2,4.2,1.5,1.2,0.5,0.9,1.9,12.4,4.665702e-06,West
67,68,Reggie Bullock,Frontcourt,31,DAL,27,18,27.0,1.7,4.9,0.341,1.3,4.1,0.318,0.4,0.8,0.455,0.473,0.5,0.7,0.7,0.4,2.7,3.0,0.9,0.8,0.1,0.4,2.2,5.1,4.643919e-06,West
415,414,Jalen Smith,Frontcourt,22,IND,28,26,22.1,3.8,9.0,0.425,1.1,4.1,0.281,2.7,4.9,0.543,0.488,1.8,2.4,0.758,1.8,4.8,6.5,1.2,0.4,1.0,1.3,2.2,10.6,4.6063433e-06,East
422,421,Edmond Sumner,Guard,27,BRK,24,9,15.5,2.6,5.7,0.463,0.6,2.0,0.286,2.0,3.6,0.563,0.515,1.8,2.0,0.915,0.4,1.2,1.6,1.4,1.0,0.2,1.1,1.6,7.6,4.5514666e-06,East
111,112,Ousmane Dieng,Frontcourt,19,OKC,14,0,15.7,1.8,4.2,0.424,0.7,2.4,0.294,1.1,1.8,0.6,0.508,0.1,0.3,0.25,0.4,2.4,2.9,1.4,0.4,0.3,0.5,0.9,4.4,4.5285674e-06,West
77,78,Jevon Carter,Guard,27,MIL,27,22,26.3,3.0,6.9,0.435,1.4,3.4,0.409,1.6,3.4,0.462,0.538,0.6,0.7,0.842,0.7,2.1,2.8,3.4,1.4,0.6,1.3,2.3,8.0,4.472369e-06,East
365,366,Joshua Primo,Guard,20,SAS,4,0,23.3,2.3,6.5,0.346,0.8,3.0,0.25,1.5,3.5,0.429,0.404,1.8,2.3,0.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2.0,7.0,4.3766067e-06,West
336,337,Jordan Nwora,Frontcourt,24,MIL,23,3,17.7,2.1,5.9,0.363,1.1,3.0,0.371,1.0,2.8,0.354,0.459,1.0,1.3,0.828,0.9,2.5,3.3,1.0,0.3,0.1,0.9,0.9,6.4,4.1877784e-06,East
349,350,Cameron Payne,Guard,28,PHO,26,14,24.8,4.7,11.4,0.416,1.8,4.8,0.387,2.9,6.6,0.436,0.497,1.4,1.8,0.766,0.3,2.0,2.4,5.3,1.0,0.2,2.0,2.1,12.7,4.165854e-06,West
366,367,Taurean Prince,Frontcourt,28,MIN,18,0,19.6,2.8,5.7,0.495,1.2,3.0,0.389,1.7,2.7,0.612,0.597,1.1,1.2,0.864,0.3,2.2,2.5,1.2,0.3,0.2,1.2,2.4,7.9,4.1320477e-06,West
196,197,Aaron Holiday,Guard,26,ATL,25,2,18.0,1.9,4.5,0.416,0.7,1.7,0.405,1.2,2.8,0.423,0.491,0.7,0.8,0.85,0.6,1.0,1.6,1.6,0.8,0.2,0.8,1.7,5.1,4.1316143e-06,East
362,363,Dwight Powell,Frontcourt,31,DAL,25,21,17.0,2.2,3.2,0.688,0.0,0.0,0.0,2.2,3.2,0.696,0.688,1.3,2.0,0.653,1.8,1.7,3.5,0.5,0.5,0.4,0.8,2.4,5.7,4.043538e-06,West
402,401,Landry Shamet,Guard,25,PHO,19,1,16.8,2.3,5.6,0.411,1.6,4.2,0.38,0.7,1.5,0.5,0.551,0.9,1.1,0.85,0.3,0.7,1.0,1.4,0.7,0.2,0.9,1.4,7.1,4.0273208e-06,West
185,186,Sam Hauser,Frontcourt,25,BOS,29,0,16.3,2.3,4.9,0.472,1.9,4.3,0.432,0.4,0.6,0.765,0.662,0.2,0.3,0.778,0.4,2.1,2.4,0.7,0.2,0.2,0.3,1.3,6.7,3.9907854e-06,East
429,428,Cam Thomas,Guard,21,BRK,22,0,15.3,2.3,5.8,0.402,0.5,1.3,0.357,1.9,4.5,0.414,0.441,2.1,2.7,0.783,0.1,1.2,1.3,1.5,0.4,0.1,0.8,1.0,7.2,3.901988e-06,East
481,480,Justise Winslow,Frontcourt,26,POR,25,10,27.7,2.9,7.1,0.412,0.5,1.5,0.316,2.4,5.6,0.439,0.446,0.8,1.1,0.714,1.7,3.6,5.2,3.7,1.0,0.4,1.5,3.2,7.1,3.8866533e-06,West
372,373,Austin Reaves,Guard,24,LAL,27,9,29.3,3.4,6.7,0.511,1.2,3.1,0.376,2.2,3.5,0.632,0.6,2.6,2.8,0.908,0.7,2.3,3.0,2.2,0.5,0.4,1.1,1.6,10.6,3.6223144e-06,West
373,374,Cam Reddish,Frontcourt,23,NYK,20,8,21.9,3.1,6.8,0.449,0.9,2.8,0.304,2.2,4.0,0.55,0.511,1.5,1.7,0.879,0.4,1.2,1.6,1.0,0.8,0.4,0.8,1.6,8.4,3.5690616e-06,East
247,248,John Konchar,Guard,26,MEM,25,17,27.6,3.2,6.7,0.473,1.5,3.9,0.392,1.6,2.8,0.586,0.587,0.6,0.7,0.882,1.3,5.0,6.3,1.5,1.1,0.3,0.7,1.8,8.4,3.567241e-06,West
21,22,Mo Bamba,Frontcourt,24,ORL,23,5,18.7,3.1,6.1,0.504,1.1,2.9,0.388,2.0,3.2,0.608,0.596,1.2,1.7,0.692,1.1,4.1,5.2,1.1,0.2,0.9,0.8,2.4,8.5,3.4591412e-06,East
30,31,Charles Bassey,Frontcourt,22,SAS,18,1,16.2,2.6,3.7,0.687,0.1,0.3,0.333,2.4,3.4,0.721,0.701,0.8,1.2,0.636,2.3,3.8,6.1,1.6,0.4,1.2,1.3,2.6,6.0,3.4197772e-06,West
304,305,Shake Milton,Guard,26,PHI,23,8,24.5,4.5,8.7,0.517,0.9,2.3,0.377,3.7,6.4,0.568,0.567,1.7,1.9,0.864,0.7,2.5,3.2,3.5,0.3,0.2,1.8,1.9,11.6,3.3768329e-06,East
266,267,Nassir Little,Frontcourt,22,POR,21,0,15.3,2.0,4.3,0.473,0.8,2.0,0.372,1.3,2.3,0.563,0.56,0.7,1.0,0.667,0.3,2.0,2.4,0.9,0.4,0.1,0.7,0.8,5.5,3.260179e-06,West
306,307,Davion Mitchell,Guard,24,SAC,27,3,19.7,2.6,5.9,0.437,0.7,2.6,0.29,1.8,3.3,0.551,0.5,0.4,0.6,0.706,0.2,1.5,1.7,2.4,0.5,0.3,1.1,1.6,6.3,3.1413445e-06,West
435,434,Obi Toppin,Frontcourt,24,NYK,25,0,17.1,2.9,6.8,0.421,1.4,3.9,0.351,1.5,3.0,0.514,0.52,0.6,0.7,0.824,0.6,3.2,3.8,1.0,0.4,0.2,0.8,1.1,7.7,3.1013053e-06,East
90,91,Zach Collins,Frontcourt,25,SAS,17,6,20.6,3.5,6.8,0.522,0.6,2.2,0.297,2.9,4.6,0.628,0.57,0.9,1.3,0.682,1.8,3.9,5.8,2.8,0.6,0.9,2.3,3.9,8.6,3.0252372e-06,West
12,13,Cole Anthony,Guard,22,ORL,12,3,26.7,4.7,10.8,0.434,1.4,4.0,0.354,3.3,6.8,0.481,0.5,2.8,3.2,0.868,0.5,4.0,4.5,4.1,1.0,0.3,1.6,3.4,13.5,3.0237718e-06,East
173,174,Tim Hardaway Jr.,Guard,30,DAL,27,10,25.6,4.1,11.2,0.366,2.8,7.7,0.364,1.3,3.5,0.372,0.492,1.9,2.4,0.797,0.3,2.3,2.6,1.7,0.9,0.1,1.0,1.4,12.9,2.986336e-06,West
466,465,Coby White,Guard,22,CHI,19,0,20.0,2.8,6.9,0.405,1.5,4.5,0.329,1.3,2.4,0.543,0.511,0.5,0.7,0.714,0.2,2.2,2.4,1.9,0.6,0.2,0.8,1.6,7.6,2.9661298e-06,East
448,447,Dean Wade,Frontcourt,26,CLE,17,9,24.1,2.2,4.9,0.452,1.4,3.3,0.411,0.9,1.6,0.536,0.589,0.5,0.8,0.692,0.6,3.5,4.1,1.0,0.7,0.4,0.4,2.5,6.4,2.950638e-06,East
357,358,Michael Porter Jr.,Frontcourt,24,DEN,16,16,29.1,6.0,12.9,0.466,2.9,6.9,0.427,3.1,6.0,0.51,0.58,1.5,1.9,0.8,1.2,4.8,6.0,1.3,0.6,0.4,1.1,2.6,16.4,2.8865477e-06,West
450,449,Moritz Wagner,Frontcourt,25,ORL,11,7,26.1,4.0,8.4,0.478,0.9,3.5,0.263,3.1,4.9,0.63,0.533,2.4,2.7,0.867,1.9,4.6,6.5,2.2,0.6,0.4,1.9,3.8,11.3,2.8484028e-06,East
256,257,Jake LaRavia,Frontcourt,21,MEM,17,0,17.6,1.7,4.1,0.414,1.1,2.9,0.388,0.6,1.2,0.476,0.55,0.3,0.3,1.0,0.8,2.2,3.0,0.9,0.5,0.2,0.9,1.9,4.8,2.8481095e-06,West
338,339,Chuma Okeke,Frontcourt,24,ORL,18,7,21.8,1.8,4.8,0.368,1.0,3.3,0.3,0.8,1.5,0.519,0.471,0.9,1.2,0.762,1.2,3.1,4.2,1.4,0.6,0.5,0.5,1.9,5.4,2.8412028e-06,East
172,173,R.J. Hampton,Guard,21,ORL,21,0,15.6,2.2,5.0,0.438,0.8,2.3,0.347,1.4,2.7,0.518,0.519,1.3,1.5,0.871,0.4,1.2,1.6,1.5,0.8,0.2,0.9,1.0,6.5,2.815068e-06,East
179,180,Joe Harris,Guard,31,BRK,26,17,26.3,3.2,7.6,0.414,1.9,5.2,0.373,1.2,2.5,0.5,0.54,0.5,0.7,0.706,0.5,2.5,3.0,1.7,0.7,0.3,0.6,2.6,8.7,2.774516e-06,East
462,461,Trendon Watford,Frontcourt,22,POR,19,2,17.1,1.8,3.2,0.557,0.2,0.6,0.364,1.6,2.6,0.6,0.59,1.3,1.5,0.828,0.8,3.0,3.8,1.6,0.5,0.2,1.0,1.6,5.1,2.7430654e-06,West
378,379,Josh Richardson,Guard,29,SAS,21,3,23.2,3.7,9.0,0.413,1.9,5.0,0.368,1.9,4.0,0.47,0.516,1.4,1.6,0.853,0.5,1.9,2.4,2.9,0.8,0.1,1.8,1.7,10.7,2.7249757e-06,West
113,114,Donte DiVincenzo,Guard,26,GSW,21,2,19.2,2.0,5.3,0.378,1.2,3.6,0.347,0.8,1.7,0.444,0.495,0.8,1.0,0.8,0.8,3.2,4.0,2.4,1.1,0.1,1.4,1.9,6.0,2.63753e-06,West
467,466,Derrick White,Guard,28,BOS,29,22,25.4,3.4,7.5,0.454,1.7,4.2,0.413,1.7,3.3,0.505,0.569,1.6,1.9,0.87,0.5,2.2,2.8,3.1,0.8,0.7,0.9,2.4,10.2,2.5310417e-06,East
469,468,Aaron Wiggins,Guard,24,OKC,20,5,18.9,2.2,4.5,0.489,0.7,1.7,0.394,1.6,2.9,0.544,0.561,0.9,1.2,0.783,1.0,2.5,3.5,1.6,0.6,0.2,0.7,1.6,6.0,2.525968e-06,West
445,444,Gabe Vincent,Guard,26,MIA,19,0,24.8,3.2,8.1,0.39,1.4,4.8,0.297,1.7,3.3,0.524,0.477,1.1,1.3,0.84,0.3,1.8,2.1,2.9,0.8,0.1,1.4,2.6,8.8,2.523931e-06,East
355,356,Jordan Poole,Guard,23,GSW,29,10,28.4,6.1,14.5,0.424,2.4,7.4,0.319,3.8,7.0,0.534,0.506,3.2,3.7,0.861,0.3,1.9,2.2,4.6,0.8,0.3,3.1,2.3,17.9,2.4204521e-06,West
275,276,Théo Maledon,Guard,21,CHO,26,1,16.8,2.0,4.4,0.443,0.6,1.6,0.381,1.3,2.8,0.479,0.513,1.3,1.4,0.917,0.3,2.3,2.5,2.3,0.7,0.2,1.1,1.0,5.8,2.3980708e-06,East
281,282,Naji Marshall,Frontcourt,25,NOP,25,4,21.9,2.8,6.2,0.455,0.9,2.5,0.349,2.0,3.7,0.527,0.526,1.3,1.6,0.805,0.8,2.3,3.1,2.3,0.7,0.3,0.9,1.3,7.9,2.3905266e-06,West
