,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,All-Star Probability,Conference
233,234,DeAndre Jordan,Frontcourt,34,DEN,22,3,15.3,2.2,2.9,0.762,0.0,0.0,1.0,2.1,2.8,0.758,0.77,0.7,1.5,0.469,1.5,4.2,5.7,0.9,0.1,0.7,1.2,1.7,5.1,0.0004828159,West
455,454,John Wall,Guard,32,LAC,23,1,22.2,4.3,10.3,0.42,0.9,3.3,0.267,3.5,7.1,0.491,0.462,2.8,4.1,0.674,0.3,2.3,2.6,5.6,0.9,0.3,2.3,1.6,12.3,0.00047691213,West
153,154,Rudy Gobert,Frontcourt,30,MIN,26,26,31.1,5.3,8.1,0.652,0.0,0.1,0.0,5.3,8.0,0.662,0.652,3.5,5.0,0.702,3.7,8.5,12.2,0.9,0.8,1.2,1.6,3.2,14.1,0.00043763864,West
320,321,Jamal Murray,Guard,25,DEN,23,23,30.4,6.7,15.3,0.442,1.9,5.3,0.355,4.9,10.0,0.487,0.503,2.4,3.0,0.786,0.6,3.2,3.7,5.1,0.9,0.2,1.9,1.4,17.7,0.00042968782,West
181,182,Tobias Harris,Frontcourt,30,PHI,25,25,34.4,6.6,13.6,0.484,2.2,5.4,0.404,4.4,8.1,0.537,0.565,1.6,1.9,0.854,0.9,5.4,6.4,3.0,1.3,0.5,1.4,2.2,17.0,0.00038294046,East
288,289,Wesley Matthews,Guard,36,MIL,19,0,15.4,1.1,3.2,0.328,0.8,2.5,0.313,0.3,0.7,0.385,0.451,0.4,0.4,0.875,0.8,1.1,1.8,0.6,0.5,0.2,0.4,1.6,3.3,0.00031181722,East
335,336,Jusuf Nurkić,Frontcourt,28,POR,25,25,29.4,5.4,10.3,0.529,0.7,1.7,0.395,4.8,8.6,0.556,0.562,2.9,4.2,0.695,2.7,7.6,10.3,2.9,0.7,0.9,2.4,3.4,14.5,0.00030757178,West
20,21,LaMelo Ball,Guard,21,CHO,4,4,33.0,7.8,17.8,0.437,3.8,11.3,0.333,4.0,6.5,0.615,0.542,1.0,1.3,0.8,0.0,3.0,3.0,8.0,0.8,0.3,3.0,3.5,20.3,0.0002691405,East
262,263,Kawhi Leonard,Frontcourt,31,LAC,10,8,26.0,5.2,11.8,0.441,0.8,3.8,0.211,4.4,8.0,0.55,0.475,2.5,3.3,0.758,0.9,4.9,5.8,3.5,0.7,0.2,1.3,1.6,13.7,0.0002668931,West
192,193,Buddy Hield,Guard,30,IND,29,29,32.2,6.3,14.3,0.44,3.6,9.3,0.384,2.7,5.0,0.545,0.565,1.4,1.7,0.857,1.0,3.8,4.8,2.6,1.0,0.3,2.2,2.0,17.7,0.00025375278,East
144,145,Darius Garland,Guard,23,CLE,23,23,35.9,7.1,16.9,0.423,2.5,6.6,0.384,4.6,10.3,0.447,0.497,4.1,4.7,0.88,0.3,2.1,2.4,7.8,1.3,0.2,3.3,2.0,20.9,0.00023052916,East
209,210,Brandon Ingram,Frontcourt,25,NOP,15,15,32.1,7.3,15.4,0.472,1.9,4.0,0.467,5.4,11.4,0.474,0.532,4.4,5.1,0.868,0.5,4.6,5.1,4.7,0.9,0.7,2.8,2.2,20.8,0.00021876623,West
156,157,Eric Gordon,Guard,34,HOU,23,23,29.8,4.1,9.5,0.434,1.9,5.4,0.347,2.3,4.1,0.547,0.532,2.0,2.3,0.868,0.3,1.7,2.0,2.5,0.7,0.4,1.9,0.8,12.1,0.00020582599,West
23,24,Desmond Bane,Guard,24,MEM,12,12,33.6,8.3,17.8,0.465,3.8,8.5,0.451,4.4,9.3,0.477,0.573,4.3,4.8,0.912,0.5,4.4,4.9,4.8,0.6,0.3,2.3,2.4,24.7,0.00018367385,West
198,199,Justin Holiday,Guard,33,ATL,23,0,16.6,1.9,5.0,0.386,1.2,3.4,0.342,0.7,1.5,0.486,0.504,0.0,0.0,,0.0,0.8,0.8,0.9,0.2,0.4,0.5,1.5,5.0,0.00017859355,East
